epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,13474.2,0.66092,0.69822,0.57427,0.573,0.45925,0.46109,0.2731,0.67504,0.74611,0.61047,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,13734.8,0.65969,0.69283,0.57463,0.5669,0.46363,0.46248,0.27376,0.67297,0.74237,0.60926,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,13996.1,0.66162,0.69523,0.57414,0.58009,0.45494,0.45504,0.27013,0.67459,0.74317,0.60908,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,14257.5,0.65798,0.68907,0.57217,0.57225,0.4574,0.45811,0.27207,0.67204,0.74176,0.60785,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,14517.4,0.65362,0.68613,0.57316,0.58333,0.45871,0.45787,0.27082,0.6762,0.74285,0.60861,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,14777.7,0.65607,0.68055,0.57178,0.5782,0.4584,0.45919,0.27435,0.66977,0.73917,0.60707,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,15041.4,0.65401,0.67882,0.57174,0.59556,0.4497,0.46064,0.27339,0.67166,0.73772,0.60693,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,15301.1,0.64941,0.67462,0.57094,0.59056,0.46007,0.46453,0.27548,0.67091,0.73589,0.60683,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,15562.3,0.6527,0.67368,0.57011,0.59349,0.45479,0.46514,0.27609,0.67223,0.73679,0.60679,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,15823,0.64991,0.67268,0.56982,0.60156,0.45009,0.46528,0.27681,0.66961,0.7324,0.60602,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,16083.7,0.64679,0.6681,0.56987,0.59634,0.45577,0.46359,0.27642,0.66724,0.73519,0.60567,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,16344.6,0.64751,0.66702,0.56784,0.59325,0.45698,0.46407,0.27638,0.66738,0.72852,0.60527,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,16604.6,0.64349,0.66263,0.56829,0.58782,0.45807,0.46213,0.27436,0.66785,0.73024,0.60486,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,16869.8,0.64405,0.66314,0.56801,0.57902,0.46203,0.46533,0.27657,0.66919,0.72948,0.6045,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,17133.2,0.64219,0.65603,0.56712,0.58586,0.4621,0.46749,0.27794,0.66982,0.7283,0.60498,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,17395.9,0.64261,0.65756,0.56701,0.59123,0.45479,0.46415,0.27677,0.66888,0.73111,0.60442,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,17655.6,0.64217,0.65283,0.56553,0.58343,0.4629,0.46547,0.27711,0.66912,0.72671,0.60429,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,17919.8,0.64137,0.65148,0.56534,0.6067,0.45912,0.46873,0.27946,0.66632,0.72473,0.60318,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,18183.3,0.63558,0.64688,0.56524,0.59045,0.46705,0.4698,0.27852,0.66946,0.72504,0.60386,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,18445.1,0.63708,0.64609,0.56518,0.58335,0.46783,0.46557,0.27673,0.66771,0.72883,0.603,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,18706.1,0.63569,0.64309,0.56416,0.59923,0.45762,0.46761,0.27744,0.66651,0.72469,0.60317,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,18966.5,0.63636,0.6435,0.56407,0.61105,0.45475,0.46683,0.27701,0.66769,0.72725,0.60293,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,19232.2,0.6342,0.63935,0.56385,0.60193,0.45592,0.46451,0.27635,0.66694,0.72571,0.60287,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,19495.8,0.63838,0.63838,0.56322,0.59173,0.45817,0.46551,0.27736,0.66732,0.72826,0.60268,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,19757.2,0.62848,0.63316,0.56212,0.58736,0.46551,0.46353,0.27541,0.66757,0.72839,0.60257,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,20018.2,0.62921,0.63272,0.56343,0.5992,0.45893,0.46616,0.2781,0.66654,0.72493,0.60194,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,20280.3,0.62897,0.63131,0.56148,0.5866,0.46163,0.46422,0.27642,0.6661,0.72676,0.60201,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,20541.2,0.62947,0.63123,0.56216,0.59491,0.46163,0.46538,0.27635,0.6663,0.72383,0.60185,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,20802.3,0.62446,0.62798,0.56077,0.58715,0.46683,0.46588,0.27658,0.66636,0.72233,0.60146,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,21064.2,0.62735,0.62823,0.56101,0.5954,0.46434,0.46747,0.27767,0.66696,0.72362,0.60173,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,21327.6,0.62715,0.62556,0.56067,0.58939,0.46695,0.46674,0.27719,0.66738,0.72346,0.60166,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,21591.4,0.62621,0.62306,0.56005,0.59686,0.46403,0.46549,0.27636,0.66697,0.72364,0.60129,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,21854.9,0.62162,0.6204,0.55934,0.58361,0.46859,0.46622,0.27701,0.66846,0.72386,0.60126,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,22121.4,0.62209,0.61899,0.55906,0.58833,0.46289,0.46523,0.27659,0.66632,0.72196,0.60096,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,22386.5,0.62198,0.61936,0.55914,0.58786,0.4679,0.46554,0.27643,0.66757,0.72352,0.60106,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,22651.3,0.62059,0.61639,0.55866,0.59509,0.46599,0.46585,0.27704,0.66634,0.72269,0.60029,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,22916.7,0.6186,0.61426,0.55757,0.59416,0.46265,0.46666,0.27729,0.66601,0.72191,0.60022,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,23185.2,0.61562,0.6108,0.55733,0.59349,0.46167,0.46606,0.27628,0.66611,0.721,0.60011,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,23449.5,0.61854,0.61259,0.55805,0.59341,0.46549,0.46603,0.27669,0.66636,0.72072,0.59987,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,23711.6,0.61721,0.61136,0.558,0.59261,0.46696,0.46624,0.27709,0.66514,0.72032,0.59943,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,23975.3,0.6153,0.60791,0.55702,0.59432,0.46306,0.46866,0.27825,0.66623,0.72016,0.59957,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,24238.7,0.61488,0.60502,0.55619,0.60497,0.45869,0.4686,0.27813,0.66813,0.72115,0.59992,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,24504,0.61294,0.60409,0.55569,0.60712,0.46115,0.46885,0.27873,0.66769,0.72013,0.59997,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,24771.9,0.61448,0.6035,0.55628,0.60086,0.46233,0.47007,0.27942,0.66659,0.71858,0.59925,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,25035.6,0.61149,0.60346,0.5556,0.60108,0.46284,0.4699,0.2793,0.66658,0.71819,0.59949,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,25299.7,0.61186,0.60359,0.55614,0.59484,0.46945,0.47101,0.27987,0.66646,0.71768,0.59929,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,25564,0.60845,0.59901,0.55544,0.59646,0.46738,0.47121,0.28008,0.66706,0.71709,0.5992,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,25831.2,0.61114,0.5974,0.55468,0.60144,0.46123,0.47109,0.27991,0.6667,0.71789,0.59902,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,26094.9,0.60684,0.59658,0.55432,0.59086,0.4694,0.47082,0.2796,0.66687,0.71744,0.5991,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,26357.4,0.60573,0.59499,0.55357,0.60126,0.46774,0.46993,0.2794,0.66638,0.71766,0.59878,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,26620.3,0.60602,0.59336,0.55441,0.5966,0.46897,0.47017,0.27898,0.66663,0.71731,0.59852,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,26882.7,0.60688,0.59224,0.55388,0.60009,0.46726,0.46995,0.27822,0.66773,0.71831,0.59888,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,27148.1,0.60126,0.5902,0.55276,0.59882,0.4652,0.46832,0.27818,0.66638,0.71815,0.59859,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,27411.6,0.60561,0.5921,0.55422,0.59638,0.46611,0.4675,0.2778,0.66741,0.71707,0.5987,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,27675.5,0.60185,0.58891,0.55301,0.59388,0.46363,0.46709,0.27754,0.66807,0.7179,0.59876,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,27937.9,0.60367,0.58884,0.5535,0.59936,0.45988,0.46651,0.27727,0.66827,0.71946,0.59858,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,28200.9,0.60161,0.58524,0.55292,0.59825,0.45916,0.46718,0.27851,0.66787,0.71884,0.59845,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,28463.2,0.60107,0.58559,0.55249,0.60282,0.45771,0.46735,0.2786,0.66773,0.71762,0.5982,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,28724.2,0.60009,0.58572,0.55234,0.60819,0.45569,0.46705,0.27846,0.6674,0.71718,0.59813,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,28985.2,0.59878,0.58333,0.55072,0.61034,0.45541,0.46779,0.27927,0.66738,0.7177,0.5982,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,29246.7,0.59794,0.58341,0.55066,0.61035,0.45932,0.46803,0.27903,0.66703,0.71684,0.59802,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,29507.6,0.59569,0.58162,0.55129,0.60102,0.46182,0.46737,0.27856,0.66655,0.71595,0.59777,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,29769,0.59603,0.5794,0.55019,0.6013,0.46508,0.4699,0.28023,0.66614,0.71491,0.59767,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,30031,0.59614,0.57863,0.55034,0.59855,0.46471,0.47018,0.28033,0.66623,0.71482,0.59748,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,30294.2,0.59188,0.57601,0.54891,0.60494,0.46304,0.47072,0.28038,0.66618,0.71477,0.59744,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,30556.3,0.5941,0.57668,0.54919,0.60164,0.46247,0.46985,0.28002,0.66613,0.71461,0.59734,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,30817.6,0.59212,0.57492,0.54986,0.60626,0.45864,0.4697,0.27966,0.66608,0.71509,0.59728,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,31080.1,0.59307,0.57301,0.54964,0.601,0.45886,0.46832,0.27881,0.66618,0.71509,0.59718,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,31343.8,0.59172,0.57365,0.5491,0.59517,0.4629,0.46846,0.27861,0.6665,0.71532,0.59709,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,31605.2,0.59163,0.5725,0.54838,0.60023,0.46061,0.46743,0.27808,0.66682,0.71548,0.59702,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,31864.4,0.58745,0.56979,0.54799,0.60647,0.45752,0.4669,0.27774,0.66702,0.7157,0.5971,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,32125.6,0.58906,0.57083,0.54796,0.61033,0.45664,0.4664,0.27784,0.66708,0.71561,0.59696,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,32387.9,0.58999,0.56852,0.54803,0.60751,0.45632,0.46602,0.27778,0.66717,0.71578,0.59705,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,32650.2,0.58483,0.56731,0.54726,0.60697,0.45628,0.46614,0.2778,0.66707,0.71578,0.5969,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,32910.6,0.58666,0.56602,0.54668,0.61077,0.45403,0.46597,0.27744,0.66735,0.71587,0.59708,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,33171.1,0.58489,0.56649,0.54846,0.60716,0.45688,0.46624,0.27785,0.66737,0.71558,0.59709,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,33431,0.58399,0.56499,0.54734,0.60998,0.45648,0.46639,0.27822,0.66729,0.71531,0.59706,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,33692.3,0.58309,0.56235,0.54611,0.60094,0.46156,0.46623,0.27798,0.66776,0.71516,0.59727,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,33954.1,0.58098,0.56241,0.54629,0.59918,0.4631,0.46667,0.27809,0.66779,0.71538,0.59716,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,34215.2,0.58169,0.56063,0.54645,0.60627,0.45971,0.46683,0.27835,0.6677,0.71518,0.59711,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,34477.5,0.5857,0.56184,0.54627,0.60709,0.45959,0.46733,0.27866,0.66768,0.71474,0.59707,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,34739.9,0.58104,0.55819,0.54561,0.60847,0.45822,0.46722,0.27903,0.66791,0.71488,0.59713,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
