epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,13145.9,1.18732,0.74198,0.90507,0.58413,0.44648,0.4554,0.27053,1.28957,0.9273,0.95262,0.0128654,0.00428846,0.0128654,0.00428846,0.0128654,0.00428846,0.0128654,0.00428846
77,13319.2,1.18963,0.74345,0.90176,0.57412,0.45384,0.45322,0.26891,1.29297,0.92877,0.95245,0.0126369,0.00421231,0.0126369,0.00421231,0.0126369,0.00421231,0.0126369,0.00421231
78,13492.5,1.18754,0.74235,0.90174,0.56673,0.45988,0.45564,0.26975,1.29415,0.92753,0.95261,0.0124085,0.00413615,0.0124085,0.00413615,0.0124085,0.00413615,0.0124085,0.00413615
79,13664.5,1.17917,0.73393,0.90133,0.56758,0.45746,0.45494,0.26989,1.28934,0.92493,0.95052,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
80,13836.5,1.18364,0.738,0.90115,0.57043,0.4579,0.45595,0.27055,1.29054,0.92742,0.95151,0.0119515,0.00398385,0.0119515,0.00398385,0.0119515,0.00398385,0.0119515,0.00398385
81,14008.1,1.18458,0.73212,0.90165,0.56803,0.45602,0.45552,0.27038,1.29401,0.92869,0.95143,0.0117231,0.00390769,0.0117231,0.00390769,0.0117231,0.00390769,0.0117231,0.00390769
82,14179.2,1.183,0.73059,0.90015,0.57207,0.45463,0.45516,0.26976,1.29491,0.92976,0.95194,0.0114946,0.00383154,0.0114946,0.00383154,0.0114946,0.00383154,0.0114946,0.00383154
83,14350.1,1.17327,0.72515,0.8989,0.57834,0.45372,0.45435,0.27,1.29632,0.93093,0.95271,0.0112662,0.00375538,0.0112662,0.00375538,0.0112662,0.00375538,0.0112662,0.00375538
84,14521.5,1.17398,0.72564,0.89901,0.56194,0.46408,0.45579,0.27011,1.29526,0.92906,0.95256,0.0110377,0.00367923,0.0110377,0.00367923,0.0110377,0.00367923,0.0110377,0.00367923
85,14693.5,1.17228,0.72336,0.89808,0.5606,0.45956,0.45568,0.27075,1.29715,0.92822,0.95375,0.0108092,0.00360308,0.0108092,0.00360308,0.0108092,0.00360308,0.0108092,0.00360308
