epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,14912,0.6365,0.65119,0.56746,0.58587,0.45212,0.45598,0.27137,0.6744,0.74348,0.6072,0.0176631,0.00588769,0.0176631,0.00588769,0.0176631,0.00588769,0.0176631,0.00588769
56,15180.9,0.63822,0.64705,0.5663,0.56814,0.46176,0.45599,0.27067,0.67377,0.74415,0.60671,0.0174346,0.00581154,0.0174346,0.00581154,0.0174346,0.00581154,0.0174346,0.00581154
57,15451.1,0.63649,0.64571,0.56624,0.58353,0.45306,0.45501,0.26961,0.67432,0.74548,0.60666,0.0172062,0.00573538,0.0172062,0.00573538,0.0172062,0.00573538,0.0172062,0.00573538
58,15719.9,0.63186,0.64129,0.56537,0.57388,0.46018,0.45438,0.26884,0.67269,0.7445,0.60598,0.0169777,0.00565923,0.0169777,0.00565923,0.0169777,0.00565923,0.0169777,0.00565923
59,15989.6,0.63556,0.6414,0.5648,0.58139,0.4601,0.45935,0.27177,0.67425,0.74307,0.6066,0.0167492,0.00558308,0.0167492,0.00558308,0.0167492,0.00558308,0.0167492,0.00558308
60,16259.1,0.63274,0.64023,0.56451,0.57759,0.45721,0.45494,0.27059,0.67289,0.74429,0.60542,0.0165208,0.00550692,0.0165208,0.00550692,0.0165208,0.00550692,0.0165208,0.00550692
61,16528.8,0.62978,0.63566,0.5646,0.57456,0.4647,0.45827,0.27135,0.67032,0.74364,0.60519,0.0162923,0.00543077,0.0162923,0.00543077,0.0162923,0.00543077,0.0162923,0.00543077
62,16797.6,0.63052,0.63601,0.56263,0.59523,0.44829,0.4592,0.27268,0.67207,0.74152,0.60548,0.0160638,0.00535462,0.0160638,0.00535462,0.0160638,0.00535462,0.0160638,0.00535462
63,17066.6,0.62635,0.63137,0.56314,0.59124,0.45697,0.45905,0.27198,0.67197,0.74037,0.60522,0.0158354,0.00527846,0.0158354,0.00527846,0.0158354,0.00527846,0.0158354,0.00527846
64,17337.3,0.62609,0.6309,0.56283,0.58741,0.45555,0.45996,0.27217,0.67455,0.74113,0.60549,0.0156069,0.00520231,0.0156069,0.00520231,0.0156069,0.00520231,0.0156069,0.00520231
65,17605.8,0.62519,0.62542,0.56205,0.58688,0.4615,0.45975,0.27196,0.67354,0.73906,0.60502,0.0153785,0.00512615,0.0153785,0.00512615,0.0153785,0.00512615,0.0153785,0.00512615
66,17876.4,0.62535,0.62686,0.56203,0.59017,0.462,0.45992,0.27123,0.67297,0.73996,0.60542,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
67,18147.2,0.62486,0.6234,0.56055,0.59491,0.45811,0.45757,0.27021,0.67246,0.74084,0.60445,0.0149215,0.00497385,0.0149215,0.00497385,0.0149215,0.00497385,0.0149215,0.00497385
68,18416.1,0.62419,0.62279,0.5605,0.59959,0.45834,0.46193,0.2741,0.66999,0.7367,0.604,0.0146931,0.00489769,0.0146931,0.00489769,0.0146931,0.00489769,0.0146931,0.00489769
69,18685.5,0.61911,0.61926,0.56037,0.59808,0.45496,0.45914,0.27211,0.67194,0.73715,0.60383,0.0144646,0.00482154,0.0144646,0.00482154,0.0144646,0.00482154,0.0144646,0.00482154
70,18955.9,0.62029,0.61694,0.56028,0.58079,0.46519,0.45904,0.27108,0.67215,0.73958,0.60377,0.0142362,0.00474538,0.0142362,0.00474538,0.0142362,0.00474538,0.0142362,0.00474538
71,19224.3,0.61885,0.61501,0.55936,0.58852,0.45611,0.45757,0.27021,0.6705,0.73803,0.60314,0.0140077,0.00466923,0.0140077,0.00466923,0.0140077,0.00466923,0.0140077,0.00466923
72,19495.7,0.6193,0.6167,0.55935,0.58345,0.46256,0.45584,0.27049,0.67144,0.73611,0.60335,0.0137792,0.00459308,0.0137792,0.00459308,0.0137792,0.00459308,0.0137792,0.00459308
73,19764.7,0.61659,0.61092,0.5589,0.59275,0.45717,0.45902,0.27141,0.67008,0.73622,0.60301,0.0135508,0.00451692,0.0135508,0.00451692,0.0135508,0.00451692,0.0135508,0.00451692
74,20034.5,0.62088,0.61216,0.5587,0.58616,0.4555,0.45964,0.27195,0.67013,0.73684,0.60294,0.0133223,0.00444077,0.0133223,0.00444077,0.0133223,0.00444077,0.0133223,0.00444077
75,20304.2,0.61137,0.60705,0.55753,0.59248,0.45223,0.45767,0.27041,0.67084,0.73652,0.60296,0.0130938,0.00436462,0.0130938,0.00436462,0.0130938,0.00436462,0.0130938,0.00436462
76,20573.5,0.61167,0.60473,0.55882,0.5796,0.45659,0.45481,0.26921,0.6701,0.73543,0.60224,0.0128654,0.00428846,0.0128654,0.00428846,0.0128654,0.00428846,0.0128654,0.00428846
77,20842.7,0.6123,0.60465,0.55711,0.57991,0.45781,0.4568,0.27078,0.6704,0.73438,0.60275,0.0126369,0.00421231,0.0126369,0.00421231,0.0126369,0.00421231,0.0126369,0.00421231
78,21113.6,0.61182,0.60442,0.55765,0.57459,0.46358,0.45806,0.27079,0.67041,0.73478,0.60238,0.0124085,0.00413615,0.0124085,0.00413615,0.0124085,0.00413615,0.0124085,0.00413615
79,21381.4,0.60778,0.60192,0.55628,0.57534,0.46565,0.45922,0.27146,0.67092,0.73361,0.60221,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
80,21650.7,0.60926,0.60152,0.5563,0.5829,0.45866,0.45886,0.27117,0.66974,0.73163,0.60169,0.0119515,0.00398385,0.0119515,0.00398385,0.0119515,0.00398385,0.0119515,0.00398385
81,21920.4,0.60958,0.5998,0.5563,0.58934,0.45523,0.45642,0.27006,0.67135,0.73285,0.60207,0.0117231,0.00390769,0.0117231,0.00390769,0.0117231,0.00390769,0.0117231,0.00390769
82,22192.5,0.60853,0.59647,0.55571,0.58649,0.46086,0.45832,0.27107,0.6696,0.7318,0.60173,0.0114946,0.00383154,0.0114946,0.00383154,0.0114946,0.00383154,0.0114946,0.00383154
83,22461.5,0.60389,0.59424,0.55494,0.58179,0.46452,0.46066,0.27142,0.67141,0.73144,0.60172,0.0112662,0.00375538,0.0112662,0.00375538,0.0112662,0.00375538,0.0112662,0.00375538
84,22732.2,0.6049,0.59358,0.55475,0.58858,0.45978,0.45778,0.27049,0.67121,0.73357,0.60179,0.0110377,0.00367923,0.0110377,0.00367923,0.0110377,0.00367923,0.0110377,0.00367923
85,23002.8,0.60364,0.59268,0.55469,0.58483,0.46021,0.45844,0.27012,0.67293,0.73303,0.60233,0.0108092,0.00360308,0.0108092,0.00360308,0.0108092,0.00360308,0.0108092,0.00360308
86,23272.2,0.60182,0.58996,0.55412,0.58031,0.4638,0.45864,0.27111,0.67069,0.73064,0.60166,0.0105808,0.00352692,0.0105808,0.00352692,0.0105808,0.00352692,0.0105808,0.00352692
87,23542.8,0.59981,0.58803,0.55307,0.57547,0.46568,0.4586,0.27111,0.67031,0.73008,0.60175,0.0103523,0.00345077,0.0103523,0.00345077,0.0103523,0.00345077,0.0103523,0.00345077
88,23815.1,0.59708,0.58493,0.55291,0.57358,0.4673,0.45797,0.27096,0.66996,0.7306,0.60176,0.0101238,0.00337462,0.0101238,0.00337462,0.0101238,0.00337462,0.0101238,0.00337462
89,24085.7,0.60036,0.58635,0.5537,0.58518,0.45962,0.45922,0.27082,0.6711,0.73121,0.60186,0.00989538,0.00329846,0.00989538,0.00329846,0.00989538,0.00329846,0.00989538,0.00329846
90,24356.7,0.59849,0.58552,0.55384,0.59634,0.45354,0.45871,0.27102,0.67037,0.7308,0.60188,0.00966692,0.00322231,0.00966692,0.00322231,0.00966692,0.00322231,0.00966692,0.00322231
91,24628.9,0.59645,0.58208,0.55288,0.58137,0.46131,0.45872,0.271,0.67016,0.73005,0.60143,0.00943846,0.00314615,0.00943846,0.00314615,0.00943846,0.00314615,0.00943846,0.00314615
